Date,Close
1/13/2021 15:30:00,14564.85
1/14/2021 15:30:00,14595.6
1/15/2021 15:30:00,14433.7
1/18/2021 15:30:00,14281.3
1/19/2021 15:30:00,14521.15
1/20/2021 15:30:00,14644.7
1/21/2021 15:30:00,14590.35
1/22/2021 15:30:00,14371.9
1/25/2021 15:30:00,14238.9
1/27/2021 15:30:00,13967.5
1/28/2021 15:30:00,13817.55
1/29/2021 15:30:00,13634.6
2/1/2021 15:30:00,14281.2
2/2/2021 15:30:00,14647.85
2/3/2021 15:30:00,14789.95
2/4/2021 15:30:00,14895.65
2/5/2021 15:30:00,14924.25
2/8/2021 15:30:00,15115.8
2/9/2021 15:30:00,15109.3
2/10/2021 15:30:00,15106.5
2/11/2021 15:30:00,15173.3
2/12/2021 15:30:00,15163.3
2/15/2021 15:30:00,15314.7
2/16/2021 15:30:00,15313.45
2/17/2021 15:30:00,15208.9
2/18/2021 15:30:00,15118.95
2/19/2021 15:30:00,14981.75
2/22/2021 15:30:00,14675.7
2/23/2021 15:30:00,14707.8
2/24/2021 15:30:00,14982
2/25/2021 15:30:00,15097.35
2/26/2021 15:30:00,14529.15
3/1/2021 15:30:00,14761.55
3/2/2021 15:30:00,14919.1
3/3/2021 15:30:00,15245.6
3/4/2021 15:30:00,15080.75
3/5/2021 15:30:00,14938.1
3/8/2021 15:30:00,14956.2
3/9/2021 15:30:00,15098.4
3/10/2021 15:30:00,15174.8
3/12/2021 15:30:00,15030.95
3/15/2021 15:30:00,14929.5
3/16/2021 15:30:00,14910.45
3/17/2021 15:30:00,14721.3
3/18/2021 15:30:00,14557.85
3/19/2021 15:30:00,14744